';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
再	두 재:	冂';
栽	심을 재:	木';
裁	옷마를 재	衣';
載	실을 재:	車';
哉	어조사 재	口';
宰	재상 재:	宀';
齋	재계할/집 재	齊';
滓	찌끼 재	水';
梓	가래나무 재:	木';
齎	가질 재 | 가질 제	齊';
縡	일[事] 재	糸';
渽	강이름 재	水';
灾	재앙 재	火';
纔	겨우 재	糸';
賫	가질 재	貝';
爭	다툴 쟁	爪';
錚	쇳소리 쟁	金';
箏	쟁[악기이름] 쟁	竹';
諍	간할 쟁	言';
貯	쌓을 저:	貝';
低	낮을 저:	人';
底	밑 저:	广';
著	나타날 저:	艸';
抵	막을[抗] 저:	手';
沮	막을[遮] 저:	水';
狙	원숭이/엿볼 저:	犬';
豬	돼지 저	豕';
箸	젓가락 저	竹';
咀	씹을 저:	口';
詛	저주할 저:	言';
躇	머뭇거릴 저	足';
邸	집 저:	邑';
觝	씨름 저:	角';
姐	맏누이 저:	女';
齟	이어긋날 저 | 이어긋날 서	齒';
這	이 저:	辵';
藷	감자 저	艸';
菹	김치 저	艸';
苧	모시 저:	艸';
雎	물수리 저	隹';
疽	종기 저	疒';
紵	모시 저:	糸';
佇	우두커니설 저:	人';
杵	공이 저	木';
楮	닥나무 저:	木';
樗	가죽나무 저	木';
渚	물가 저	水';
猪	돼지[豬] 저	犬';
儲	쌓을 저	人';
羜	새끼양 저	羊';
氐	근본 저	氏';
罝	짐승그물 저	网';
砠	돌산 저	石';
疷	앓을 저	疒';
苴	암삼 저 | 두엄풀 자	艸';
羝	숫양 저	羊';
杼	북(織具) 저:	木';
筯	젓가락 저	竹';
的	과녁 적	白';
赤	붉을 적	赤';
敵	대적할 적	攴';
積	쌓을 적	禾';
籍	문서 적	竹';
適	맞을 적	辵';
績	길쌈 적	糸';
賊	도둑 적	貝';
跡	발자취 적	足';
寂	고요할 적	宀';
笛	피리 적	竹';
摘	딸[手收] 적	手';
蹟	자취 적	足';
滴	물방울 적	水';
嫡	정실 적	女';
謫	귀양갈 적	言';
狄	오랑캐 적	犬';
迹	자취 적	辵';
荻	물억새 적	艸';
迪	나아갈 적	辵';
鏑	살촉 적	金';
勣	공(功) 적	力';
翟	꿩 적	羽';
糴	쌀사들일 적	米';
趯	뛸 적 | 뛸 약	走';
逖	멀 적	辵';
籊	가늘고길 적	竹';
覿	볼 적	見';
踖	조심해서걸을/밟을 적	足';
電	번개 전:	雨';
前	앞 전	刀';
全	온전 전	入';
戰	싸움 전:	戈';
傳	전할 전	人';
典	법 전:	八';
展	펼 전:	尸';
田	밭 전	田';
專	오로지 전	寸';
轉	구를 전:	車';
錢	돈 전:	金';
殿	전각 전:	殳';
甸	경기 전	田';
塡	메울 전	土';
箋	기록할 전	竹';
餞	보낼 전:	食';
顫	떨 전:	頁';
顚	엎드러질/이마 전:	頁';
銓	사람가릴 전(:)	金';
輾	돌아누울 전:	車';
纏	얽을 전	糸';
栓	마개 전	木';
箭	살[矢] 전:	竹';
廛	가게 전:	广';
癲	미칠 전:	疒';
煎	달일 전(:)	火';
澱	앙금 전:	水';
剪	가위 전(:)	刀';
氈	담(毯) 전:	毛';
悛	고칠 전:	心';
篆	전자(篆字) 전:	竹';
奠	정할/제사 전:	大';
筌	통발 전	竹';
佺	신선이름 전	人';
塼	벽돌[甎] 전	土';
佃	밭갈 전	人';
鈿	비녀 전	金';
鐫	새길 전	金';
詮	갖출 전	言';
畑	화전 전	田';
琠	옥이름 전	玉';
腆	두터울 전:	肉';
翦	자를 전	羽';
邅	머뭇거릴 전	辵';
靦	부끄러울 전:	面';
顓	오로지 전	頁';
闐	성할 전	門';
旃	기(旗) 전	方';
巓	산꼭대기 전	山';
戩	다할 전	戈';
荃	향초 전	艸';
瘨	앓을 전	疒';
牷	희생 전	牛';
瀍	물이름 전	水';
鱣	전어 전: | 드렁허리 선:	魚';
飦	죽 전	食';
畋	사냥할 전	田';
節	마디 절	竹';
切	끊을 절 | 온통 체	刀';
絶	끊을 절	糸';
折	꺾을 절	手';
竊	훔칠 절	穴';
截	끊을 절	戈';
浙	강이름 절	水';
癤	부스럼 절	疒';
晢	밝을 절 | 별반짝일 제	日';
晣	밝을 절 | 별반짝일 제	日';
店	가게 점:	广';
點	점 점(:)	黑';
占	점령할 점:/점칠 점	卜';
漸	점점 점:	水';
霑	젖을 점	雨';
粘	붙을 점	米';
岾	고개 재 | 절이름 점	山';
鮎	메기 점	魚';
点	점[點] 점(:)	火';
玷	옥티 점	玉';
墊	빠질 점	土';
坫	잔돌려놓는자리 점	土';
簟	대자리 점:	竹';
接	이을 접	手';
蝶	나비 접	虫';
摺	접을 접 | 접을 섭	手';
正	바를 정(:)	止';
庭	뜰 정	广';
定	정할 정:	宀';
情	뜻 정	心';
停	머무를 정	人';
政	정사(政事) 정	攴';
程	한도/길[道] 정	禾';
精	정할 정	米';
靜	고요할 정	靑';
丁	고무래/장정 정	一';
整	가지런할 정:	攴';
淨	깨끗할 정	水';
頂	정수리 정	頁';
井	우물 정(:)	二';
亭	정자 정	亠';
廷	조정 정	廴';
貞	곧을 정	貝';
征	칠 정	彳';
訂	바로잡을 정	言';
艇	배 정	舟';
偵	염탐할 정	人';
呈	드릴 정	口';
汀	물가 정	水';
楨	광나무 정	木';
晶	맑을 정	日';
鼎	솥 정	鼎';
鄭	나라 정:	邑';
禎	상서로울 정	示';
旌	기 정	方';
珽	옥이름 정	玉';
錠	덩이 정	金';
挺	빼어날 정	手';
町	밭두둑 정	田';
睛	눈동자 정	目';
碇	닻 정	石';
穽	함정 정	穴';
釘	못 정	金';
靖	편안할 정(:)	靑';
幀	그림족자 정	巾';
酊	술취할 정	酉';
淀	얕은물 정	水';
湞	물이름 정	水';
炡	빛날 정	火';
渟	물괼 정	水';
晸	동틀 정	日';
姃	단정할 정	女';
鉦	징 정	金';
諪	조정할 정	言';
鋌	쇳덩이 정	金';
綎	인끈 정	糸';
檉	능수버들 정	木';
瀞	맑을 정	水';
霆	벼락 정	雨';
玎	옥 소리 정	玉';
梃	몽둥이 정	木';
阱	함정 정	阜';
赬	붉을 정	赤';
裎	옷벗을 정	衣';
涏	물결곧을 정 | 윤이날 전	水';
靚	단장할 정	靑';
鋥	칼날세울 정:	金';
酲	숙취 정	酉';
桯	탁자 정	木';
棖	문설주 정	木';
珵	옥이름 정	玉';
弟	아우 제:	弓';
第	차례 제:	竹';
題	제목 제	頁';
濟	건널 제:	水';
提	끌 제	手';
制	절제할 제:	刀';
製	지을 제:	衣';
除	덜 제	阜';
際	즈음/가[邊] 제:	阜';
祭	제사 제:	示';
帝	임금 제:	巾';
諸	모두 제	言';
齊	가지런할 제	齊';
堤	둑 제	土';
劑	약제 제	刀';
啼	울 제	口';
梯	사다리 제	木';
悌	공손할 제:	心';
蹄	굽 제	足';
醍	제호 제	酉';
霽	갤 제:	雨';
薺	냉이 제:	艸';
臍	배꼽 제	肉';
隮	오를 제	阜';
禔	편안할 제	示';
鵜	사다새 제	鳥';
穧	볏단 제	禾';
泲	물이름 제	水';
懠	성낼 제	心';
嚌	맛볼 제	口';
隄	둑/막을 제	阜';
躋	오를 제	足';
稊	가라지 제	禾';
瑅	옥이름 제	玉';
娣	제수 제:	女';
蠐	굼벵이 제	虫';
祖	할아비 조	示';
朝	아침 조	月';
調	고를 조	言';
操	잡을 조(:)	手';
鳥	새 조	鳥';
助	도울 조:	力';
早	이를 조:	日';
造	지을 조:	辵';
條	가지 조	木';
潮	밀물/조수 조	水';
組	짤 조	糸';
租	조세 조	禾';
照	비칠 조:	火';
兆	억조 조	儿';
燥	마를 조	火';
弔	조상할 조:	弓';
措	둘[置] 조	手';
釣	낚을/낚시 조:	金';
彫	새길 조	彡';
趙	나라 조:	走';
曺	성(姓) 조	曰';
祚	복(福) 조	示';
詔	조서 조:	言';
藻	마름 조:	艸';
躁	조급할 조	足';
阻	막힐 조	阜';
凋	시들 조	冫';
嘲	비웃을 조	口';
曹	무리 조	曰';
棗	대추 조	木';
粗	거칠 조	米';
肇	비롯할 조:	聿';
遭	만날 조	辵';
槽	구유 조	木';
繰	고치켤 조	糸';
糟	지게미 조	米';
稠	빽빽할 조	禾';
漕	배로실어나를 조	水';
爪	손톱 조	爪';
眺	볼 조:	目';
蚤	벼룩 조	虫';
俎	도마 조	人';
晁	아침 조	日';
璪	면류관장식 조	玉';
雕	아로새길 조	隹';
吊	조상할[弔] 조:	口';
窕	그윽할 조	穴';
鞗	고삐 조	革';
阼	동편섬돌 조	阜';
螬	굼벵이 조	虫';
蓧	삼태기 조	艸';
罩	가리 조	网';
旐	기 조	方';
慥	독실할 조	心';
鰷	피라미 조	魚';
殂	죽을 조	歹';
皂	검을/하인 조:	白';
佻	경박할 조	人';
洮	씻을 조	水';
鼂	아침 조	黽';
蜩	매미 조	虫';
蔦	담쟁이덩굴 조	艸';
竈	부엌 조	穴';
皁	검을/하인 조:	白';
恌	경박할 조	心';
懆	근심할 조	心';
徂	갈 조	彳';
足	발 족	足';
族	겨레 족	方';
簇	가는대[小竹] 족	竹';
鏃	살촉 족	金';
尊	높을 존	寸';
存	있을 존	子';
卒	마칠 졸	十';
拙	졸할 졸	手';
猝	갑자기 졸	犬';
種	씨 종(:)	禾';
終	마칠 종	糸';
宗	마루 종	宀';
鍾	쇠북 종	金';
從	좇을 종(:)	彳';
縱	세로 종	糸';
綜	모을 종	糸';
琮	옥홀 종	玉';
踵	발꿈치 종	足';
慫	권할 종	心';
腫	종기 종:	肉';
踪	자취 종	足';
棕	종려나무[椶] 종	木';
淙	물소리 종	水';
悰	즐길 종	心';
鐘	쇠북 종	金';
倧	신인(神人) 종	人';
螽	메뚜기 종	虫';
尰	수중다리 종	尢';
蹤	자취 종	足';
瑽	패옥소리 종	玉';
豵	돼지새끼 종	豕';
樅	전나무 종	木';
鬷	모일 종	鬲';
椶	종려나무 종	木';
左	왼 좌:	工';
座	자리 좌:	广';
坐	앉을 좌:	土';
佐	도울 좌:	人';
挫	꺾을 좌:	手';
脞	잗달 좌	肉';
罪	허물 죄:	网';
住	살 주:	人';
主	임금/주인 주	丶';
注	부을 주:	水';
晝	낮 주	日';
週	주일 주	辵';
州	고을 주	巛';
走	달릴 주	走';
酒	술 주(:)	酉';
朱	붉을 주	木';
周	두루 주	口';
柱	기둥 주	木';
珠	구슬 주	玉';
株	그루 주	木';
奏	아뢸 주(:)	大';
洲	물가 주	水';
鑄	쇠불릴 주	金';
宙	집 주:	宀';
舟	배 주	舟';
駐	머무를 주:	馬';
疇	이랑 주	田';
躊	머뭇거릴 주:	足';
輳	몰려들 주	車';
誅	벨 주	言';
做	지을 주	人';
胄	자손 주	肉';
呪	빌 주:	口';
嗾	부추길 주	口';
廚	부엌 주	广';
紂	주임금 주	糸';
紬	명주 주	糸';
註	글뜻풀 주:	言';
澍	단비  주	水';
侏	난쟁이 주	人';
湊	모일 주	水';
炷	심지 주	火';
籌	산가지/헤아릴 주:	竹';
冑	투구 주	冂';
蛛	거미 주	虫';
綢	빽빽할 주	糸';
酎	진한술 주	酉';
姝	예쁠 주	女';
妵	여자예쁜모양 주	女';
侜	가릴 주	人';
幬	휘장 주 | 덮을 도	巾';
裯	홑이불 주 | 소매 도	衣';
輈	수레채 주	車';
遒	굳셀 주	辵';
咮	새부리 주	口';
燽	드러날 주	火';
譸	속일 주	言';
躕	머뭇거릴 주	足';
邾	나라이름 주	邑';
馵	뒷발이흰말 주	馬';
霔	시우 주	雨';
竹	대 죽	竹';
粥	죽 죽	米';
鬻	죽 죽 | 팔 육	鬲';
準	준할 준:	水';
遵	좇을 준:	辵';
俊	준걸 준:	人';
准	비준 준:	冫';
駿	준마 준:	馬';
濬	깊을 준:	水';
浚	깊게할 준:	水';
晙	밝을 준:	日';
峻	높을/준엄할 준:	山';
埈	높을 준:	土';
竣	마칠 준:	立';
樽	술통 준	木';
蠢	꾸물거릴 준:	虫';
畯	농부 준	田';
儁	영특할 준:	人';
雋	영특할 준 | 살질 전	隹';
逡	물러갈 준	辵';
寯	모을 준	宀';
焌	불태울 준	火';
噂	수군거릴 준	口';
埻	과녁 준	土';
蹲	걸어앉을 준	足';
隼	새매 준	隹';
鱒	송어 준	魚';
茁	풀싹 줄 | 풀싹 절	艸';
崒	산높을 줄	山';
中	가운데 중	丨';
重	무거울 중:	里';
衆	무리 중:	血';
仲	버금 중(:)	人';
卽	곧 즉	卩';
櫛	빗 즐	木';
騭	수말 즐	馬';
葺	기울 즙	艸';
汁	즙 즙	水';
緝	거둘 즙 | 거둘 집	糸';
楫	노 즙	木';
濈	화목할 즙	水';
戢	거둘 즙	戈';
增	더할 증	土';
證	증거 증	言';
憎	미울 증	心';
曾	일찍 증	曰';
症	증세 증(:)	疒';
蒸	찔 증	艸';
贈	줄[送] 증	貝';
甑	시루 증	瓦';
拯	건질 증	手';
烝	찔/뭇 증	火';
繒	비단 증	糸';
璔	옥(玉) 증	玉';
紙	종이 지	糸';
地	따 지	土';
知	알 지	矢';
止	그칠 지	止';
志	뜻 지	心';
指	가리킬 지	手';
支	지탱할 지	支';
至	이를 지	至';
持	가질 지	手';
智	슬기/지혜 지	日';
誌	기록할 지	言';
之	갈 지	丿';
池	못 지	水';
枝	가지 지	木';
只	다만 지	口';
遲	더딜/늦을 지	辵';
脂	기름 지	肉';
旨	뜻 지	日';
芝	지초 지	艸';
址	터 지	土';
咫	여덟치 지	口';
摯	잡을 지	手';
枳	탱자 지 | 탱자 기	木';
祉	복(福) 지	示';
肢	팔다리 지	肉';
漬	적실 지	水';
芷	구릿대 지	艸';
砥	숫돌 지	石';
贄	폐백 지	貝';
蜘	거미 지	虫';
沚	물가 지	水';
祗	공경할 지	示';
趾	발 지	足';
篪	저[笛] 지	竹';
踟	머뭇거릴 지	足';
蚳	개미알 지	虫';
輊	수레숙어질 지	車';
鋕	새길 지	金';
坻	모래섬 지 | 무너질 저	土';
直	곧을 직	目';
職	직분 직	耳';
織	짤 직	糸';
稷	피[穀名] 직	禾';
稙	올벼 직	禾';
進	나아갈 진:	辵';
眞	참 진	目';
珍	보배 진	玉';
盡	다할 진:	皿';
陣	진칠 진	阜';
陳	베풀 진:/묵을 진	阜';
震	우레 진:	雨';
鎭	진압할 진(:)	金';
辰	별 진 | 때 신	辰';
振	떨칠 진:	手';
診	진찰할 진	言';
津	나루 진(:)	水';
塵	티끌 진	土';
秦	성(姓) 진	禾';
晋	진나라 진:	日';
嗔	성낼 진	口';
疹	마마 진	疒';
唇	놀랄 진	口';
瑨	옥돌 진	玉';
溱	많을 진	水';
榛	개암나무 진	木';
軫	수레뒤턱나무 진	車';
晉	성(姓)/나아갈[晋] 진:	日';
畛	밭두렁 진	田';
搢	꽂을 진	手';
瞋	부릅뜰 진	目';
縝	맺을 진:	糸';
臻	이를 진	至';
蔯	사철쑥 진	艸';
桭	처마 진	木';
賑	진휼 진:	貝';
縉	꽂을 진	糸';
璡	옥돌 진	玉';
殄	끊을/다할 진	歹';
袗	홑옷 진	衣';
鬒	숱많고검을 진	髟';
螓	쓰르라미 진	虫';
禛	복받을 진	示';
蓁	우거질 진	艸';
瑱	귀막이옥 진	玉';
紾	비틀/거칠 진	糸';
質	바탕 질	貝';
疾	병 질	疒';
秩	차례 질	禾';
姪	조카 질	女';
窒	막힐 질	穴';
帙	책권차례 질	巾';
桎	차꼬 질	木';
膣	음도 질	肉';
叱	꾸짖을 질	口';
跌	거꾸러질 질	足';
迭	갈마들 질	辵';
嫉	미워할 질	女';
蛭	거머리 질	虫';
侄	어리석을 질	人';
瓆	사람이름 질	玉';
垤	개밋둑 질	土';
絰	요질/수질 질	糸';
銍	짧은낫 질	金';
蒺	남가새 질	艸';
礩	주춧돌 질	石';
挃	벼벨 질	手';
耋	늙을 질	老';
瓞	북치 질	瓜';
朕	나 짐:	月';
斟	짐작할 짐	斗';
集	모을 집	隹';
執	잡을 집	土';
輯	모을 집	車';
潗	샘물솟을 집	水';
鏶	쇳조각 집	金';
徵	부를 징	彳';
懲	징계할 징	心';
澄	맑을 징	水';
次	버금 차	欠';
差	다를 차	工';
此	이 차	止';
借	빌/빌릴 차:	人';
且	또 차:	一';
遮	가릴 차(:)	辵';
叉	갈래 차	又';
嗟	탄식할 차:	口';
蹉	미끄러질 차	足';
箚	글/찌를 차 | 글/찌를 잡	竹';
磋	갈[磨] 차	石';
侘	자랑할/실의할 차	人';
嵯	산높고험할 차 | 산세들쭉날쭉한모양 치	山';
瑳	옥빛 차	玉';
佌	작을 차	人';
泚	물맑을 차	水';
佽	도울 차	人';
着	붙을 착	目';
錯	어긋날 착	金';
捉	잡을 착	手';
搾	짤 착	手';
窄	좁을 착	穴';
鑿	뚫을 착	金';
齪	악착할 착	齒';
斮	벨 착	斤';
斲	깎을 착	斤';
讚	기릴 찬:	言';
贊	도울 찬:	貝';
餐	밥 찬	食';
瓚	옥잔 찬	玉';
鑽	뚫을 찬	金';
璨	옥빛 찬:	玉';
燦	빛날 찬:	火';
撰	지을 찬:	手';
纂	모을 찬:	糸';
饌	반찬 찬:	食';
篡	빼앗을 찬:	竹';
竄	도망할/내칠 찬:	穴';
簒	빼앗을[篡] 찬:	竹';
澯	맑을 찬	水';
纘	이을 찬:	糸';
粲	선명할/하얀쌀밥 찬	米';
爨	불땔 찬:	火';
巑	높이솟을 찬	山';
湌	먹을 찬 | 밥 손	水';
察	살필 찰	宀';
刹	절 찰	刀';
札	편지 찰	木';
擦	문지를 찰	手';
紮	묶을 찰	糸';
扎	뽑을 찰	手';
參	참여할 참	厶';
慙	부끄러울 참	心';
慘	참혹할 참	心';
斬	벨 참(:)	斤';
塹	구덩이 참	土';
站	역(驛)마을 참(:)	立';
僭	주제넘을 참:	人';
懺	뉘우칠 참	心';
讒	참소할 참	言';
讖	예언 참	言';
憯	마음아플 참	心';
譖	참소할 참	言';
毚	약은토끼 참	比';
窓	창 창	穴';
唱	부를 창:	口';
創	비롯할 창:	刀';
昌	창성할 창(:)	日';
蒼	푸를 창	艸';
倉	곳집 창(:)	人';
暢	화창할 창:	日';
滄	큰바다 창	水';
彰	드러날 창	彡';
敞	시원할 창	攴';
昶	해길 창:	日';
槍	창 창	木';
脹	부을 창:	肉';
娼	창녀 창(:)	女';
猖	미쳐날뛸 창	犬';
廠	공장 창	广';
瘡	부스럼 창	疒';
倡	광대 창:	人';
艙	부두 창	舟';
菖	창포 창	艸';
愴	슬플 창:	心';
漲	넘칠 창:	水';
搶	빼앗을 창	手';
瑲	옥소리 창	玉';
蹌	추창할 창	足';
窗	창 창	穴';
鶬	왜가리/꾀꼬리 창	鳥';
悵	슬플 창:	心';
鬯	향풀 창	鬯';
韔	활집 창	韋';
採	캘 채:	手';
債	빚 채:	人';
彩	채색 채:	彡';
菜	나물 채:	艸';
埰	사패지(賜牌地) 채:	土';
采	풍채 채:	釆';
蔡	성(姓) 채:	艸';
寨	목책(木柵) 채	宀';
綵	비단 채:	糸';
寀	채지 채	宀';
釵	비녀 채 | 비녀 차	金';
砦	목책 채	石';
瘥	병나을 채 | 역질 차	疒';
瘵	허로병 채	疒';
蠆	벌(蜂)/전갈 채:	虫';
責	꾸짖을 책	貝';
冊	책 책	冂';
策	꾀 책	竹';
柵	울타리 책	木';
簀	살평상 책	竹';
處	곳 처:	虍';
妻	아내 처	女';
悽	슬퍼할 처:	心';
凄	쓸쓸할 처	冫';
萋	풀성할 처	艸';
尺	자 척	尸';
戚	친척 척	戈';
拓	넓힐 척	手';
斥	물리칠 척	斤';
隻	외짝 척	隹';
陟	오를 척	阜';
瘠	여윌 척	疒';
滌	씻을 척	水';
脊	등마루 척	肉';
擲	던질 척	手';
慽	근심할 척	心';
倜	얽매이지않을 척	人';
蹠	밟을 척	足';
剔	뼈바를 척	刀';
坧	터 척	土';
蹢	머뭇거릴 척 | 굽 적	足';
惕	두려워할 척	心';
蹐	잔걸음 척	足';
慼	근심할 척	心';
跖	발바닥 척	足';
千	일천 천	十';
天	하늘 천	大';
川	내 천	巛';
泉	샘 천	水';
踐	밟을 천:	足';
賤	천할 천:	貝';
淺	얕을 천:	水';
遷	옮길 천:	辵';
薦	천거할 천:	艸';
釧	팔찌 천	金';
闡	밝힐 천:	門';
穿	뚫을 천:	穴';
擅	멋대로할 천:	手';
喘	숨찰 천:	口';
玔	옥고리 천	玉';
韆	그네 천	革';
仟	일천 천	人';
舛	어그러질 천:	舛';
阡	밭둑길 천	阜';
梴	나무밋밋할 천	木';
遄	빠를 천	辵';
幝	해진모양 천	巾';
倩	아름다울 천: | 사위 청:	人';
俴	엷을 천	人';
鐵	쇠 철	金';
哲	밝을 철	口';
徹	통할 철	彳';
撤	거둘 철	手';
澈	맑을 철	水';
喆	밝을/쌍길[吉] 철	口';
轍	바퀴자국 철	車';
綴	엮을 철	糸';
凸	볼록할 철	凵';
輟	그칠 철	車';
歠	마실 철	欠';
驖	구렁말 철	馬';
惙	근심할 철	心';
啜	훌쩍거릴 철	口';
掇	주울 철	手';
尖	뾰족할 첨	小';
添	더할 첨	水';
瞻	볼 첨	目';
籤	제비(점대) 첨	竹';
僉	다/여러 첨	人';
諂	아첨할 첨:	言';
詹	이를(至) 첨	言';
沾	젖을 첨	水';
甛	달[甘] 첨	甘';
簽	이름둘 첨	竹';
襜	수레휘장 첨	衣';
餂	핥을 첨	食';
覘	엿볼 첨 | 엿볼 점	見';
忝	욕될 첨	心';
妾	첩 첩	女';
諜	염탐할 첩	言';
帖	문서 첩	巾';
貼	붙일 첩	貝';
疊	거듭 첩	田';
牒	편지 첩	片';
捷	빠를 첩	手';
睫	속눈썹 첩	目';
輒	문득 첩	車';
堞	성가퀴 첩	土';
靑	푸를 청	靑';
淸	맑을 청	水';
請	청할 청	言';
聽	들을 청	耳';
廳	관청 청	广';
晴	갤 청	日';
菁	순무 청 | 빛날 정	艸';
鯖	청어 청	魚';
體	몸 체	骨';
滯	막힐 체	水';
遞	갈릴 체	辵';
逮	잡을 체	辵';
替	바꿀 체	曰';
締	맺을 체	糸';
涕	눈물 체	水';
諦	살필 체	言';
剃	머리깎을 체	刀';
疐	꼭지 체 | 엎어질 치	疋';
彘	돼지 체	彐';
棣	산앵두나무 체 | 익숙할 태	木';
嚔	재채기할 체	口';
掣	끌 체 | 당길 철	手';
杕	나무우뚝설 체 | 키 타	木';
禘	큰제사 체	示';
蝃	무지개 체	虫';
遆	갈마들 체 | 두를 대	辵';
髢	딴머리 체	髟';
揥	빗치개 체 | 버릴 제	手';
草	풀 초	艸';
初	처음 초	刀';
招	부를 초	手';
超	뛰어넘을 초	走';
肖	닮을/같을 초	肉';
礎	주춧돌 초	石';
抄	뽑을 초	手';
秒	분초 초	禾';
哨	망볼 초	口';
焦	탈[燥] 초	火';
楚	초나라 초	木';
貂	담비 초	豸';
礁	암초 초	石';
硝	화약 초	石';
憔	파리할 초	心';
醋	초 초	酉';
蕉	파초 초	艸';
樵	나무할 초	木';
梢	나무끝 초	木';
稍	점점 초	禾';
炒	볶을 초	火';
酢	초 초 | 술권할 작	酉';
椒	산초나무 초	木';
苕	완두 초	艸';
艸	풀 초	艸';
醮	초례 초	酉';
剿	끊을/노략질할 초	刀';
誚	꾸짖을 초	言';
勦	노곤할 초	力';
悄	근심할 초	心';
譙	꾸짖을 초	言';
觸	닿을 촉	角';
促	재촉할 촉	人';
燭	촛불 촉	火';
蜀	나라이름 촉	虫';
囑	부탁할 촉	口';
矗	우뚝솟을 촉	目';
蠋	뽕나무벌레 촉	虫';
躅	자취 촉	足';
寸	마디 촌:	寸';
村	마을 촌:	木';
忖	헤아릴 촌:	心';
邨	마을[村] 촌:	邑';
總	다[皆] 총:	糸';
銃	총 총	金';
聰	귀밝을 총	耳';
叢	떨기/모일 총	又';
塚	무덤 총	土';
寵	사랑할 총:	宀';
蔥	파 총	艸';
摠	거느릴 총:	手';
憁	실심할 총	心';
悤	바쁠 총	心';
冢	클/무덤 총:	冖';
潨	물모일 총	水';
撮	모을/사진찍을 촬	手';
最	가장 최:	曰';
催	재촉할 최:	人';
崔	성(姓)/높을 최	山';
摧	꺾을 최	手';
嘬	물(齧) 최:	口';
凗	눈서리쌓일 최	冫';
秋	가을 추	禾';
推	밀 추	手';
追	쫓을/따를 추	辵';
醜	추할 추	酉';
抽	뽑을 추	手';
趨	달아날 추	走';
鄒	추나라 추	邑';
楸	가래 추	木';
槌	칠[擊] 추 | 방망이 퇴	木';
樞	지도리 추	木';
芻	꼴 추	艸';
墜	떨어질 추	土';
鰍	미꾸라지 추	魚';
鎚	쇠망치 추	金';
酋	우두머리 추	酉';
錐	송곳 추	金';
錘	저울추 추	金';
椎	쇠몽치/등골 추	木';
皺	주름질 추	皮';
萩	다북쑥 추	艸';
湫	늪 추 | 웅덩이 초	水';
諏	가릴 추	言';
雛	새새끼 추	隹';
騶	마부 추	馬';
瘳	병나을 추	疒';
鄹	나라이름 추	邑';
萑	익모초 추 | 물억새 환	艸';
緅	아청빛 추	糸';
棸	나무이름 추	木';
麤	거칠 추	鹿';
鶖	무수리 추	鳥';
鵻	비둘기 추	鳥';
甃	우물벽돌 추	瓦';
縐	주름 추	糸';
騅	푸르고흰얼룩말 추	馬';
蝤	나무굼벵이 추 | 하루살이 유	虫';
祝	빌 축	示';
築	쌓을 축	竹';
蓄	모을 축	艸';
縮	줄일 축	糸';
畜	짐승 축	田';
逐	쫓을 축	辵';
丑	소 축	一';
蹴	찰 축	足';
軸	굴대 축	車';
蹙	찡그릴/움츠릴 축	足';
筑	악기이름 축	竹';
竺	천축 축	竹';
蓫	참소리쟁이 축	艸';
柷	악기이름 축	木';
蹜	종종걸음칠 축	足';
妯	동서 축 | 슬퍼할 추	女';
顣	찡그릴 축	頁';
踧	삼갈 축 | 평평할 척	足';
春	봄 춘	日';
椿	참죽나무 춘	木';
瑃	옥이름 춘	玉';
賰	넉넉할 춘	貝';
杶	참죽나무 춘	木';
出	날[生] 출	凵';
黜	내칠 출	黑';
朮	삽주 출	木';
怵	두려울 출	心';
充	채울 충	儿';
忠	충성 충	心';
蟲	벌레 충	虫';
衝	찌를 충	行';
衷	속마음 충	衣';
沖	화(和)할 충	水';
忡	근심할 충	心';
珫	귀막이 충	玉';
虫	벌레 충 | 벌레 훼	虫';
贅	혹 췌:	貝';
悴	파리할 췌:	心';
膵	췌장 췌:	肉';
萃	모을 췌:	艸';
揣	헤아릴 췌 | 헤아릴  취	手';
惴	두려워할 췌	心';
瘁	병들 췌: | 병들 취:	疒';
取	가질 취:	又';
就	나아갈 취:	尢';
趣	뜻 취:	走';
吹	불 취:	口';
醉	취할 취:	酉';
臭	냄새 취:	自';
炊	불땔 취:	火';
聚	모을 취:	耳';
娶	장가들 취:	女';
翠	푸를/물총새 취:	羽';
脆	연할 취:	肉';
鷲	독수리 취:	鳥';
嘴	부리 취:	口';
驟	빠를 취:	馬';
毳	솜털 취:	毛';
測	헤아릴 측	水';
側	곁 측	人';
惻	슬플 측	心';
厠	뒷간 측	厂';
仄	기울 측	人';
昃	해기울 측	日';
廁	뒷간 측	广';
層	층[層階] 층	尸';
致	이를 치:	至';
治	다스릴 치	水';
置	둘[措] 치:	网';
齒	이 치	齒';
値	값 치	人';
恥	부끄러울 치	心';
稚	어릴 치	禾';
峙	언덕 치	山';
雉	꿩 치	隹';
幟	기(旗) 치	巾';
嗤	비웃을 치	口';
痔	치질 치	疒';
侈	사치할 치	人';
熾	성할 치	火';
癡	어리석을 치	疒';
緻	빽빽할 치	糸';
馳	달릴 치	馬';
輜	짐수레 치	車';
痴	어리석을[癡] 치	疒';
穉	어릴 치	禾';
蚩	어리석을 치	虫';
淄	강이름 치	水';
緇	검을 치	糸';
梔	치자나무 치:	木';
褫	옷벗길/빼앗을 치	衣';
懫	성낼 치	心';
庤	쌓을 치	广';
