';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
己	몸 기	己';
汽	물끓는김 기	水';
期	기약할 기	月';
技	재주 기	手';
器	그릇 기	口';
起	일어날 기	走';
機	틀 기	木';
寄	부칠 기	宀';
奇	기특할 기	大';
紀	벼리 기	糸';
騎	말탈 기	馬';
祈	빌 기	示';
畿	경기(京畿) 기	田';
其	그 기	八';
企	꾀할 기	人';
旣	이미 기	无';
忌	꺼릴 기	心';
棄	버릴 기	木';
欺	속일 기	欠';
飢	주릴 기	食';
豈	어찌 기	豆';
幾	몇 기	幺';
棋	바둑 기	木';
冀	바랄 기	八';
岐	갈림길 기	山';
驥	천리마 기	馬';
耆	늙을 기	老';
麒	기린 기	鹿';
沂	물이름 기	水';
淇	물이름 기	水';
琦	옥이름 기	玉';
琪	아름다운옥 기	玉';
璣	별이름 기	玉';
箕	키 기	竹';
騏	준마 기	馬';
譏	비웃을 기	言';
肌	살[膚肉] 기	肉';
綺	비단 기	糸';
杞	구기자(枸杞子) 기	木';
朞	돌 기	月';
崎	험할 기	山';
妓	기생 기:	女';
伎	재간 기	人';
羈	굴레/나그네 기	网';
嗜	즐길 기	口';
畸	뙈기밭/불구(不具) 기	田';
磯	여울돌 기	石';
埼	갑 기	土';
圻	경기(京畿) 기	土';
碁	바둑 기	石';
夔	조심할 기	夊';
璂	피변옥 기	玉';
祁	클 기	示';
祇	지신 기	示';
祺	길할 기	示';
玘	패옥 기	玉';
錡	세발가마 기	金';
錤	호미 기	金';
耭	밭갈 기	耒';
饑	주릴 기	食';
歧	두갈래길 기	止';
棊	바둑 기	木';
曁	미칠 기	日';
暣	볕 기	日';
旂	용대기 기	方';
覊	굴레/나그네 기	襾';
跂	육발이/발돋움할 기	足';
蘷	조심할 기	艸';
墍	흙바를 기	土';
屺	민둥산 기	山';
忮	사나울 기	心';
軝	수레굴통대 기	車';
頎	헌걸찰 기	頁';
芑	흰차조 기	艸';
掎	당길 기	手';
僛	비틀거려춤출 기	人';
羇	굴레/나그네 기	网';
綦	들메끈 기	糸';
緊	긴할 긴	糸';
吉	길할 길	口';
拮	일할 길	手';
佶	바를 길	人';
桔	도라지 길	木';
姞	삼갈 길	女';
喫	먹을 끽	口';
那	어찌 나:	邑';
拏	잡을 나:	手';
懦	나약할 나:	心';
拿	잡을[拏同] 나:	手';
儺	푸닥거리 나	人';
娜	아리따울 나	女';
諾	허락할 낙	言';
暖	따뜻할 난:	日';
難	어려울 난(:)	隹';
煖	더울 난:	火';
戁	두려워할 난	心';
赧	부끄러울 난:	赤';
捏	꾸밀 날	手';
捺	누를 날	手';
陧	위태할 날	阜';
南	남녘 남	十';
男	사내 남	田';
楠	녹나무 남	木';
枏	녹나무 남	木';
湳	물이름 남	水';
納	들일 납	糸';
衲	기울[縫] 납	衣';
軜	고삐 납	車';
娘	계집 낭	女';
囊	주머니 낭	口';
曩	지난번 낭:	日';
內	안 내:	入';
耐	견딜 내:	而';
奈	어찌 내	大';
乃	이에 내:	丿';
柰	사과/어찌 내	木';
鼐	큰솥 내:	鼎';
迺	이에 내:	辵';
女	계집 녀	女';
年	해 년	干';
撚	비빌 년	手';
秊	해[年] 년	禾';
涅	열반(涅槃) 녈	水';
念	생각 념:	心';
拈	집을 념 | 집을 점	手';
恬	편안할 념	心';
捻	비틀 념	手';
寧	편안 녕	宀';
寗	차라리 녕	宀';
獰	사나울 녕	犬';
甯	차라리 녕	用';
佞	재주있을/아첨할 녕	人';
怒	성낼 노:	心';
努	힘쓸 노	力';
奴	종 노	女';
弩	쇠뇌 노	弓';
駑	둔한말 노	馬';
瑙	마노 노	玉';
峱	산이름 노	山';
猱	원숭이 노	犬';
呶	지껄일 노	口';
孥	자식 노	子';
砮	돌살촉 노	石';
怓	어지러울 노	心';
農	농사 농	辰';
濃	짙을 농:	水';
膿	고름 농	肉';
穠	무성할 농	禾';
腦	골/뇌수 뇌	肉';
惱	번뇌할 뇌	心';
餒	주릴 뇌	食';
尿	오줌 뇨	尸';
撓	휠 뇨:	手';
鬧	지껄일 뇨:	鬥';
耨	호미 누:	耒';
嫩	어릴 눈:	女';
訥	말더듬거릴 눌	言';
紐	맺을 뉴	糸';
杻	싸리 뉴: | 수갑 추:	木';
忸	익을 뉴 | 부끄러울 뉵	心';
鈕	인꼭지 뉴	金';
狃	익숙할 뉴:	犬';
能	능할 능	肉';
泥	진흙 니	水';
尼	여승 니	尸';
